2019-04-21 16:09:33.871 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Salary offere ranged: Not disclosed
2019-04-21 16:09:34.316 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Selenium - Pune - Accenture - 2 to 6 years of experience
2019-04-21 16:09:54.556 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Member - Technology Management - Bengaluru/Bangalore, Pune - EdgeVerve Systems Limited - 2 to 6 years of experience
2019-04-21 16:10:14.752 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Payments Fundtech Global Pay Plus - Pune - Accenture - 3 to 4 years of experience
2019-04-21 16:10:34.976 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: QA Automation - Pune - Talent21 Management Shared Services Pvt. ltd. - 3 to 6 years of experience
2019-04-21 16:10:35.154 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Blue Color Apply button is dispayed : Apply
2019-04-21 16:10:35.352 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Apply button clicked on postion : 174231
2019-04-21 16:10:35.995 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - update carieer pop-up displayed
2019-04-21 16:10:38.402 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated back to >>>>>>>>>>>>>>>>>>>>>>>>>>> : CDWINDOW-E406328A08DAC8F2D38989097C3E8C38
2019-04-21 16:10:38.588 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Job Name ================================> Selenium C# Test Analyst
2019-04-21 16:10:38.674 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Organisation Name ================================> Bengaluru, Pune
2019-04-21 16:10:38.762 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Salary offere ranged: Not disclosed
2019-04-21 16:10:39.201 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Selenium - Pune - Accenture - 2 to 6 years of experience
2019-04-21 16:10:59.383 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Member - Technology Management - Bengaluru/Bangalore, Pune - EdgeVerve Systems Limited - 2 to 6 years of experience
2019-04-21 16:11:19.510 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Payments Fundtech Global Pay Plus - Pune - Accenture - 3 to 4 years of experience
2019-04-21 16:11:39.779 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated to Job page Name: Selenium C# Test Analyst - Pune - Capgemini Technology Services India Limited - 2 to 6 years of experience
2019-04-21 16:11:40.071 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Blue Color Apply button is dispayed : Apply
2019-04-21 16:11:40.280 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Apply button clicked on postion : 174231
2019-04-21 16:11:41.074 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - update carieer pop-up displayed
2019-04-21 16:11:43.452 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Navigated back to >>>>>>>>>>>>>>>>>>>>>>>>>>> : CDWINDOW-E406328A08DAC8F2D38989097C3E8C38
2019-04-21 16:11:43.621 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Job Name ================================> Selenium Test Analyst
2019-04-21 16:11:43.762 [main] INFO  com.Naukri.PageObjectClasses.JobSearchResultPage - Organisation Name ================================> Accenture
